movieId	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
1	История игрушек	John Lasseter,John Lasseter,John Lasseter	Release date,December 22, 1995 (Russia),	1h 21m(81 min)	$30,000,000 (estimated)	$401,148,449	Walt Disney Pictures,Pixar Animation Studios	United States	English
2	Джуманджи	Joe Johnston,Joe Johnston,Joe Johnston	Release date,March 6, 1996 (Russia),	1h 44m(104 min)	$65,000,000 (estimated)	$262,821,940	TriStar Pictures,Interscope Communications,Teitler Film	United States	English,French
3	Старые ворчуны разбушевались	Howard Deutch,Howard Deutch,Howard Deutch	Release date,December 22, 1995 (United States),	1h 41m(101 min)	$25,000,000 (estimated)	$71,518,503	Warner Bros.,Lancaster Gate	United States	English,Italian,German
4	В ожидании выдоха	Forest Whitaker,Forest Whitaker,Forest Whitaker	Release date,December 22, 1995 (United States),	2h 4m(124 min)	$16,000,000 (estimated)	$81,452,156	Twentieth Century Fox	United States	English
5	Отец невесты 2	Charles Shyer,Charles Shyer,Charles Shyer	Release date,December 8, 1995 (United States),	1h 46m(106 min)	$30,000,000 (estimated)	$76,594,107	Touchstone Pictures,Sandollar Productions,Taylor-Made Productions	United States	English
6	Схватка	Michael Mann,Michael Mann,Michael Mann	Release date,March 16, 1996 (Russia),	2h 50m(170 min)	$60,000,000 (estimated)	$187,436,818	Warner Bros.,New Regency Productions,Forward Pass	United States	English,Spanish
7	Сабрина	Sydney Pollack,Sydney Pollack,Sydney Pollack	Release date,December 15, 1995 (United States),	2h 7m(127 min)	$58,000,000 (estimated)	$53,696,959	Mirage Enterprises,Mont Blanc Entertainment GmbH,Paramount Pictures	Germany,United States	English,French
8	Приключения Тома Сойера	Peter Hewitt,Peter Hewitt,Peter Hewitt	Release date,December 22, 1995 (United States),	1h 37m(97 min)	No Data	$23,920,048	Walt Disney Pictures,Painted Fence Productions	United States	English
9	Внeзапная смерть	Peter Hyams,Peter Hyams,Peter Hyams	Release date,December 22, 1995 (United States),	1h 51m(111 min)	$35,000,000 (estimated)	$64,350,171	Universal Pictures,Signature Entertainment,Imperial Entertainment	United States	English
10	Золотой глаз	Martin Campbell,Martin Campbell,Martin Campbell	Release date,January 19, 1996 (Russia),	2h 10m(130 min)	$60,000,000 (estimated)	$352,194,034	Eon Productions,United Artists	United Kingdom,United States,Russia	English,Russian,Spanish
11	Американский президент	Rob Reiner,Rob Reiner,Rob Reiner	Release date,March 7, 1996 (Russia),	1h 54m(114 min)	$62,000,000 (estimated)	$107,879,496	Universal Pictures,Castle Rock Entertainment,Wildwood Enterprises	United States	English,French,Spanish
12	Дракула: Мёртвый и довольный	Mel Brooks,Mel Brooks,Mel Brooks	Release date,January 2, 1998 (Russia),	1h 28m(88 min)	$30,000,000 (estimated)	$10,772,144	Gaumont,Castle Rock Entertainment,Brooksfilms	France,United States	English,German
13	Балто	Simon Wells,Simon Wells,Simon Wells	Release date,June 22, 1998 (Russia),	1h 18m(78 min)	No Data	$11,349,090	Universal Pictures,Amblin Entertainment,Amblimation	United States	English
14	Никсон	Oliver Stone,Oliver Stone,Oliver Stone	Release date,January 5, 1996 (United States),	3h 12m(192 min)	$44,000,000 (estimated)	$13,681,765	Hollywood Pictures,Illusion Entertainment,Cinergi Pictures Entertainment	United States	English,Mandarin,Russian
15	Остров головорезов	Renny Harlin,Renny Harlin,Renny Harlin	Release date,December 22, 1995 (United States),	2h 4m(124 min)	$98,000,000 (estimated)	$10,017,322	Alliance Films,Beckner/Gorman Productions,Canal+	France,Italy,Germany,United States	English,Spanish,Latin,French
16	Казино	Martin Scorsese,Martin Scorsese,Martin Scorsese	Release date,November 22, 1995 (United States),	2h 58m(178 min)	$52,000,000 (estimated)	$116,112,375	Universal Pictures,Syalis DA,Légende Entreprises	United States,France	English
17	Разум и чувства	Ang Lee,Ang Lee,Ang Lee	Release date,January 26, 1996 (United States),	2h 16m(136 min)	$16,000,000 (estimated)	$134,582,776	Columbia Pictures,Mirage Enterprises	United Kingdom,United States	English,French
18	Четыре комнаты	No Data	Release date,January 1996 (Russia),	1h 38m(98 min)	$4,000,000 (estimated)	$4,257,354	Miramax,A Band Apart	United States	English
19	Эйс Вентура 2: Когда зовёт природа	Steve Oedekerk,Steve Oedekerk,Steve Oedekerk	Release date,November 10, 1995 (United States),	1h 30m(90 min)	$30,000,000 (estimated)	$212,385,533	Morgan Creek Entertainment,Morgan Creek Productions,O Entertainment	United States	English
20	Денежный поезд	Joseph Ruben,Joseph Ruben,Joseph Ruben	Release date,November 22, 1995 (United States),	1h 50m(110 min)	$68,000,000 (estimated)	$35,431,113	Columbia Pictures,Peters Entertainment	United States	English
